교량명,도로종류,도로노선명,도로노선번호,도로노선방향,시도명,시군구명,소재지도로명주소,소재지지번주소,교량시작점위도,교량시작점경도,교량종료점위도,교량종료점경도,시설물종별등급구분,상부구조형식,Type,,상하행선분리여부,교량연장,교량폭,높이,통행하중,제한속도,가변속도제한유무,제한차량,차로수,교량준공년도,최종안전점검일자,최종안전점검결과,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
금성교,6,성양-춘양,5호,3,14,영암군,,전라남도 영암군 덕진면 금강리 899-67,34.820215,126.687378,34.820191,126.687686,99,RSC,,38,N,21,8,3,43.2,, ,,2,1995,2018-03-14,B,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
개신교,6,성양-춘양,5호,3,14,영암군,,전라남도 영암군 영암읍 개신리 892-5,34.784255,126.720173,34.784408,126.719953,99,RSC,,38,N,10.3,7,2,24.3,, ,,2,1975,2018-03-14,C,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
서도포교,6,원항-이천,8호,3,14,영암군,,전라남도 영암군 도포면 도포리 227-1,34.83449,126.639925,34.83426,126.640237,99,RSC,,38,N,30,8,4,24.3,, ,,2,2006,2018-03-14,B,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
암거교,6,금강-신흥,9호,3,14,영암군,,전라남도 영암군 덕진면 장선리 585-8,34.83374,126.672866,34.83799,126.672591,99,RSC,,38,N,14.3,10,2,24.3,, ,,2,2013,2018-03-14,B,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
수산교,6,금강-신흥,9호,3,14,영암군,,전라남도 영암군 도포면 수산리 901-35,34.846515,126.650491,34.846661,126.649969,99,RSC,,38,N,41.5,8.5,4,24.3,, ,,2,1989,2018-03-14,C,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
본촌교,6,금강-신흥,9호,3,14,영암군,,전라남도 영암군 시종면 금지리 1126,34.90137,126.612869,34.90154,126.613261,99,RSC,,38,N,39,9,4,43.2,, ,,2,2008,2018-03-14,B,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
와운교,6,신북-금정,12호,3,14,영암군,,전라남도 영암군 금정면 월평리 403-1,34.882043,126.74577,34.882181,126.746148,99,RSC,,38,N,42,8.5,4,24.3,, ,,2,1982,2018-03-14,C,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
똑다리교,6,양계-금수,13호,3,14,영암군,,전라남도 영암군 신북면 갈곡리 1010-5,34.909389,126.684385,34.909104,126.684474,99,RSC,,38,N,24,8,3,43.2,, ,,2,2010,2018-03-14,B,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
남송교,6,남송-청용,14호,3,14,영암군,,전라남도 영암군 금정면 남송리 1348-9,34.847169,126.774007,34.847268,126.774274,99,RSC,,38,N,25,10.5,3,43.2,, ,,2,2015,2018-03-14,B,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
삼호대교,99,구국도,2호,3,14,영암군,,전라남도 영암군 삼호읍 나불리 964,34.782846,126.450855,34.78559,126.44929,1,RSC,,38,N,390,35,7,43.2,, ,,6,1990,2018-06-22,B,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
제2삼호대교,99,구국도,2호,3,14,영암군,,전라남도 영암군 삼호읍 나불리 321,34.787154,126.448384,34.789279,126.447175,1,RSC,,38,N,365,36,7,43.2,, ,,6,2015,2018-06-22,B,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
개신2교,99,미개선,304호,3,14,영암군,,전라남도 영암군 영암읍 개신리 727-24,34.784809,126.721561,34.78464,126.72141,99,RSC,,38,N,16,7,3,24.3,, ,,2,1987,2018-03-14,C,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
월출교,99,월율선,203호,3,14,영암군,,전라남도 영암군 영암읍 용흥리 537-9,34.794553,126.713828,34.794598,126.715059,99,RSC,,38,N,50,10,4,43.2,, ,,2,2002,2018-03-14,B,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
선황정교,99,추둔선,204호,3,14,영암군,,전라남도 영암군 영암읍 장암리 696-3,34.80273,126.733495,34.802812,126.733665,99,RSC,,38,N,13.5,15,2,43.2,, ,,2,2013,2018-03-14,B,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
영덕교,99,수신선,201호,3,14,영암군,,전라남도 영암군 영암읍 송평리 981-69,34.820451,126.667652,34.823003,126.668843,99,RSC,,38,N,200,10,6,43.2,, ,,2,2006,2018-03-14,B,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
감치교,99,동호선,102호,3,14,영암군,,전라남도 영암군 삼호읍 동호리 1457,34.749227,126.526472,34.749636,126.52772,99,RSC,,38,N,120,11,5,43.2,, ,,2,2001,2018-03-14,B,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
영동교,99,장등선,202호,3,14,영암군,,전라남도 영암군 덕진면 영등리 348-1,34.820448,126.704996,34.820444,126.705429,99,RSC,,38,N,30.75,10,3,43.2,, ,,2,2016,2018-03-14,B,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
향월3암거,99,금호선,204호,3,14,영암군,,전라남도 영암군 덕진면 장선리 674-8,34.827708,126.67142,34.827898,126.67177,99,RSC,,38,N,10,8,2,32.4,, ,,2,2015,2018-03-14,B,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
양와교,99,기모선,201호,3,14,영암군,,전라남도 영암군 금정면 와운리 1053-6,34.892651,126.744058,34.892619,126.744058,99,RSC,,38,N,70,9,5,43.2,, ,,2,2001,2018-03-14,B,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
월평교,99,화흥선,202호,3,14,영암군,,전라남도 영암군 금정면 월평리 467-7,34.872248,126.747025,34.872388,126.747025,99,RSC,,38,N,60,7,5,43.2,, ,,2,2002,2018-03-14,B,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
제1교,99,대용선,204호,3,14,영암군,,전라남도 영암군 금정면 용흥리 345-6,34.855598,126.769107,34.855692,126.769186,99,RSC,,38,N,12,11,2,24,, ,,2,2002,2018-03-14,C,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
종오교,99,운우선,302호,3,14,영암군,,전라남도 영암군 신북면 갈곡리 1010-3,34.917494,126.676186,34.917164,126.675426,99,RSC,,38,N,73,9,5,43.2,, ,,2,2011,2018-03-14,B,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
할미교,99,학모선,101호,3,14,영암군,,전라남도 영암군 군서면 서구림리 832,34.759915,126.619161,34.760182,126.61918,99,RSC,,38,N,25,10,3,43.2,, ,,2,2000,2018-03-14,B,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
상월교,99,학용선,101호,3,14,영암군,,전라남도 영암군 학산면 상월리 365-5,34.713387,126.619338,34.713521,126.620206,99,RSC,,38,N,61,10,5,32.4,, ,,2,2015,2018-03-14,B,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
금상교,99,초유선,204호,3,14,영암군,,전라남도 영암군 학산면 금계리 1311-11,34.721944,126.614426,34.72217,126.615191,99,RSC,,38,N,54,8,5,43.2,, ,,2,1999,2018-03-14,C,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
등너머2교,99,춘동선,102호,3,14,영암군,,전라남도 영암군 미암면 춘동리 676-10,34.697652,126.551953,34.69766,126.552267,99,RSC,,38,N,26.5,9,3,43.2,, ,,2,2012,2018-03-14,B,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
배알미대교,2,국도,45호선,2,9,하남시,,경기도 하남시 배알미동 산33-6,37.5312,127.2639,37.5285,127.2756,1,강박스거더교,Girder,,Y,1140,21,25,43.2,, ,,4,1995,2018-03-28,B,하남시,031-790-6545,2018-08-10,4040000,경기도 하남시
팔당대교,2,국도,45호선,2,9,하남시,,경기도 하남시 창우동 50,37.5424,127.2332,37.5483,127.2405,1,PC박스거더교,Girder,,Y,935,18.7,25,43.2,, ,,4,1995,2018-03-28,B,하남시,031-790-6545,2018-08-10,4040000,경기도 하남시
산곡4교,2,국도,45호선,2,9,하남시,,경기도 하남시 창우동 79-3,37.5439,127.2317,37.5436,127.2327,2,강박스거더교,Girder,,Y,109,17.5,10,43.2,, ,,4,2004,2018-03-28,B,하남시,031-790-6545,2018-08-10,4040000,경기도 하남시
창우2육교,2,국도,45호선,2,9,하남시,,경기도 하남시 창우동 49,37.5426,127.2341,37.5426,127.2345,2,강박스거더교,Girder,,Y,1140,17.5,10,43.2,, ,,4,2004,2018-03-28,B,하남시,031-790-6545,2018-08-10,4040000,경기도 하남시
덕풍1교,2,국도,43호선,2,9,하남시,,경기도 하남시 신장동 547,37.5373,127.2136,37.5369,127.2139,3,RC슬래브교,Slab,,Y,52,29,4.5,43.2,, ,,7,1993,2018-03-28,B,하남시,031-790-6545,2018-08-10,4040000,경기도 하남시
덕풍2교,5,도시계획도,-,1,9,하남시,,경기도 하남시 신장동 547,37.5392,127.2161,37.5388,127.2165,3,RC슬래브교,Slab,,Y,57,12,4.5,43.2,, ,,2,1993,2018-03-28,B,하남시,031-790-6545,2018-08-10,4040000,경기도 하남시
덕풍3교,5,도시계획도,-,1,9,하남시,,경기도 하남시 신장동 547,37.5408,127.2165,37.5408,127.2174,3,RC슬래브교,Slab,,Y,63,35,4.5,43.2,, ,,4,1993,2018-03-28,B,하남시,031-790-6545,2018-08-10,4040000,경기도 하남시
덕풍4교,5,도시계획도,-,1,9,하남시,,경기도 하남시 신장동 547,37.5421,127.2164,37.5421,127.2171,3,RC슬래브교,Slab,,Y,60,8,5,43.2,, ,,2,1993,2018-03-28,B,하남시,031-790-6545,2018-08-10,4040000,경기도 하남시
덕풍5교,5,도시계획도,-,1,9,하남시,,경기도 하남시 신장동 621,37.5435,127.2164,37.5435,127.2171,3,RC슬래브교,Slab,,Y,60,13,4.5,43.2,, ,,4,2004,2018-03-28,B,하남시,031-790-6545,2018-08-10,4040000,경기도 하남시
덕풍교,5,도시계획도,-,1,9,하남시,,경기도 하남시 신장동 244-2,37.5488,127.2182,37.5489,127.2191,3,PC슬래브교,Slab,,Y,90,33,4.5,43.2,, ,,6,1981,2018-03-28,B,하남시,031-790-6545,2018-08-10,4040000,경기도 하남시
산곡1교,5,도시계획도,-,1,9,하남시,,경기도 하남시 창우동 532,37.5346,127.2257,37.5346,127.2262,3,RC슬래브교,Slab,,Y,52,20,5,43.2,, ,,4,1993,2018-03-28,B,하남시,031-790-6545,2018-08-10,4040000,경기도 하남시
산곡3교,5,도시계획도,-,1,9,하남시,,경기도 하남시 창우동81-5,37.5436,127.2312,37.5433,127.2321,3,PC박스거더교,Girder,,Y,90,10,5,43.2,, ,,2,1995,2018-03-28,B,하남시,031-790-6545,2018-08-10,4040000,경기도 하남시
산곡교,5,시도,176호선,2,9,하남시,,경기도 하남시 창우동 77,37.5442,127.2322,37.5439,127.2331,3,PC슬래브교,Slab,,Y,90,14.5,5,43.2,, ,,3,1983,2018-03-28,B,하남시,031-790-6545,2018-08-10,4040000,경기도 하남시
새능교,2,국도,43호선,2,9,하남시,,경기도 하남시 하산곡동 538-2,37.5108,127.2262,37.5104,127.2263,3,RC슬래브교,Slab,,Y,48,18.5,4,43.2,, ,,4,1995,2018-03-28,B,하남시,031-790-6545,2018-08-10,4040000,경기도 하남시
창우교,2,국도,43호선,2,9,하남시,,경기도 하남시 하산곡동 553-1,37.5287,127.2227,37.528,127.222,3,RC슬래브교,Slab,,Y,75,35,6,43.2,, ,,6,1995,2018-03-28,B,하남시,031-790-6545,2018-08-10,4040000,경기도 하남시
천현교,2,국도,43호선,2,9,하남시,,경기도 하남시 하산곡동 562,37.5174,127.2224,37.5168,127.2228,3,RC슬래브교,Slab,,Y,75,20,4.5,43.2,, ,,4,1997,2018-03-28,B,하남시,031-790-6545,2018-08-10,4040000,경기도 하남시
마평교,6,군도,1,3,15,청송군,,경상북도 청송군 부동면 지리 567-155,36.372947,129.093347,36.372709,129.094597,3,RCT,,52,N,129,6.8,3.6,13.5,, ,,2,1986,2018-01-01,C,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
거대교,6,군도,1,3,15,청송군,,경상북도 청송군 청송읍 거대리 592-1,36.420067,129.104892,36.419901,129.104898,3,3경간단순RCS,Slab,,N,24,8.9,2.4,18,, ,,2,1991,2018-01-01,B,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
월외교,6,군도,1,3,15,청송군,,경상북도 청송군 청송읍 월외리 516,36.440322,129.106082,36.440245,129.106157,3,2경간연속RCS,Slab,,N,26,9,5.8,24,, ,,2,1999,2018-01-01,A,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
약수교,6,군도,1,3,15,청송군,,경상북도 청송군 청송읍 부곡리 279-3,36.439608,129.083101,36.439607,129.083257,3,2경간연속RCS,Slab,,N,24,10,3.4,24,, ,,2,1998,2018-01-01,A,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
약수1교,6,군도,1,3,15,청송군,,경상북도 청송군 청송읍 부곡리 265-1,36.440328,129.08052,36.440277,129.080588,3,3경간연속RCS,Slab,,N,30,9.5,2.6,18,, ,,2,1981,2018-01-01,B,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
한실교,6,군도,2,3,15,청송군,,경상북도 청송군 청송읍 교리 410-1,36.402098,129.106237,36.402044,129.106449,99,1경간단순RCS,Slab,,N,8,7,5.1,18,, ,,2,2010,2018-01-01,B,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
수구교,6,군도,2,3,15,청송군,,경상북도 청송군 청송읍 교리 231-2,36.40104,129.109873,36.400958,129.110063,99,1경간단순RCS,Slab,,N,8,6,6.5,18,, ,,2,2010,2018-01-01,B,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
부곡교,6,군도,3,3,15,청송군,,경상북도 청송군 청송읍 부곡리 361-1,36.44192,129.073086,36.441758,129.073286,3,S-preflex빔교,Girder,,N,38.1,9,6.3,24,, ,,2,2005,2018-01-01,A,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
뱀밭교,6,군도,3,3,15,청송군,,경상북도 청송군 진보면 신촌리 611-8,36.504692,129.103354,36.504586,129.10315,3,3경간연속RCS,Slab,,N,35,9,4,24,, ,,2,1999,2018-01-01,A,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
옹점교,6,군도,3,3,15,청송군,,경상북도 청송군 파천면 옹점리 370,36.472301,129.074718,36.472027,129.074793,3,4연속RCS,Slab,,N,60,9,3.5,24,, ,,2,2001,2018-01-01,A,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
소티맥이교,6,군도,3,3,15,청송군,,경상북도 청송군 파천면 옹점리 43-2,36.473898,129.078755,36.473906,129.078933,3,단순C''oncrcs,Slab,,N,24,5,2.8,18,, ,,2,1992,2018-01-01,B,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
금곡교,6,군도,3,3,15,청송군,,경상북도 청송군 청송읍 금곡리 1056-47,36.422836,129.057395,36.422389,129.058066,99,3경간연속RCS,Slab,,N,97,9.3,5,24.1,, ,,2,2016,2018-01-01,A,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
성지교,6,군도,5,3,15,청송군,,경상북도 청송군 부남면 중기리 산69-2,36.269093,129.166206,36.268981,129.166096,3,3경간연속RCS,Slab,,N,42,9,3.6,24,, ,,2,1999,2018-01-01,A,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
내룡2교,6,군도,8,3,15,청송군,,경상북도 청송군 부동면 내룡리 285-1,36.328946,129.208288,36.328818,129.208182,99,PF빔 거더교,Girder,,N,30.6,8.5,7,24,, ,,2,2009,2018-01-01,A,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
내룡3교,6,군도,8,3,15,청송군,,경상북도 청송군 부동면 내룡리 497-1,36.334116,129.208489,36.333981,129.208487,3,2경간콘크리트,,1,N,15,7.9,3.5,18,, ,,2,1994,2018-01-01,B,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
샘내교,6,군도,9,3,15,청송군,,경상북도 청송군 현서면 천천리 1001-23,36.265679,128.900431,36.265664,128.900664,3,2경간연속RCS,Slab,,N,58,9,3.5,24,, ,,2,1996,2018-01-01,B,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
여우동교,6,군도,9,3,15,청송군,,경상북도 청송군 현서면 두현리 48-2,36.29005,128.936376,36.289847,128.936092,99,단순콘크리트 RCS,Slab,,N,66.1,9.5,3,24,, ,,2,2016,2018-01-01,A,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
신흥7교,6,군도,17,3,15,청송군,,경상북도 청송군 파천면 신흥리 67-3,36.39483,129.046809,36.394683,129.047016,3,2경간단순RCS,Slab,,N,28,9,1.5,24,, ,,2,2002,2018-01-01,A,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
신흥6교,6,군도,17,3,15,청송군,,경상북도 청송군 파천면 신흥리 84-2,36.395565,129.045957,36.395459,129.046043,3,2경간단순RCS,Slab,,N,25,9,2,24,, ,,2,2002,2018-01-01,A,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
신흥5교,6,군도,17,3,15,청송군,,경상북도 청송군 파천면 신흥리 109,36.402174,129.043034,36.401943,129.043096,3,2경간단순RCS,Slab,,N,25,9,2.5,24,, ,,2,2002,2018-01-01,A,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
신흥4교,6,군도,17,3,15,청송군,,경상북도 청송군 파천면 신흥리 123-2,36.405415,129.04154,36.405337,129.041744,3,2경간단순RCS,Slab,,N,25,9,2.8,24,, ,,2,2000,2018-01-01,A,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
신흥3교,6,군도,17,3,15,청송군,,경상북도 청송군 파천면 신흥리 147-7,36.407367,129.039641,36.407123,129.039772,3,2경간단순RCS,Slab,,N,25,9,3,24,, ,,2,2000,2018-01-01,A,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
신흥2교,6,군도,17,3,15,청송군,,경상북도 청송군 파천면 신흥리 154,36.408938,129.0384,36.408813,129.038596,3,3연C''oncBox,,2,N,10.9,6,2,13.5,, ,,2,1974,2018-01-01,B,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
신흥1교,6,군도,17,3,15,청송군,,경상북도 청송군 파천면 신흥리 156-1,36.410379,129.036536,36.410217,129.036517,3,3연C''oncBox,,2,N,9.5,5.5,2,13.5,, ,,2,1986,2018-01-01,B,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
덕천교,6,군도,17,3,15,청송군,,경상북도 청송군 파천면 덕천리 728-31,36.443029,129.030423,36.442492,129.029731,3,4경간연속RCS,Slab,,N,156,9,3.6,24,, ,,2,1997,2018-01-01,B,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
양수1교,6,군도,17,3,15,청송군,,경상북도 청송군 파천면 덕천리 73-2,36.431363,129.027056,36.43113,129.026917,3,4경간연속RCS,Slab,,N,32,9,3.2,24,, ,,2,2000,2018-01-01,A,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
양수2교,6,군도,17,3,15,청송군,,경상북도 청송군 파천면 신흥리 284,36.421521,129.029456,36.421249,129.029614,3,3경간연속RCS,Slab,,N,36,9,4.2,24,, ,,2,2000,2018-01-01,A,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
양수3교,6,군도,17,3,15,청송군,,경상북도 청송군 파천면 신흥리 산22-1,36.416036,129.030438,36.41587,129.030304,3,2경간연속RCS,Slab,,N,25,9.5,2.4,24,, ,,2,2000,2018-01-01,A,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
오심이교,6,군도,17,3,15,청송군,,경상북도 청송군 안덕면 노래리 10-3,36.362826,129.034614,36.363011,129.034609,3,라멘교,Rahmen,,N,15,9,7.5,24,, ,,2,2007,2018-01-01,A,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
중평교,6,군도,18,3,15,청송군,,경상북도 청송군 파천면 중평리 34-7,36.453997,129.035281,36.455214,129.03365,99,5경간PSC교량,,1,N,187.5,5,10.2,24,, ,,2,2014,2018-01-01,A,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
광덕교,6,군도,19,3,15,청송군,,경상북도 청송군 진보면 진안리 558-51,36.533209,129.042947,36.536261,129.043431,3,PCI교량,,4,N,360,6.5,12,18,, ,,2,1990,2018-01-01,C,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
송강2교,6,군도,20,3,15,청송군,,경상북도 청송군 파천면 신기리 812-1,36.484233,129.024411,36.484095,129.022416,3,PCI교량,,4,N,240,6.5,10,18,, ,,2,1991,2018-01-01,C,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
어천교,6,군도,20,3,15,청송군,,경상북도 청송군 파천면 어천리 산12-10,36.491342,129.004764,36.490268,129.004756,3,PCI교량,,4,N,180,6.5,15,18,, ,,2,1992,2018-01-01,C,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
옹점교,6,군도,20,3,15,청송군,,경상북도 청송군 파천면 신기리 222,36.476271,129.0448,36.47618,129.045168,3,PCI교량,,4,N,80,5.9,2.9,18,, ,,2,1990,2018-01-01,B,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
배나무골교,6,군도,22,3,15,청송군,,경상북도 청송군 부동면 신점리 487,36.349157,129.130167,36.34882,129.130229,3,P.F빔 합성형교,Girder,,N,56.15,7.5,5,24,, ,,2,2004,2018-01-01,A,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
배나무골2교,6,군도,22,3,15,청송군,,경상북도 청송군 부동면 신점리 434,36.343371,129.138742,36.343228,129.138812,3,1경간단순RCS,Slab,,N,17,6,2.5,18,, ,,2,1999,2018-01-01,C,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
안굿바들,99,농어촌도로,면도1-101,3,15,청송군,,경상북도 청송군 청송읍 금곡리 139-1,36.418853,129.077287,36.418926,129.077663,3,슬라브,Slab,,N,24,6.6,2,13.5,, ,,2,1993,2018-01-01,B,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
홈다리교,99,농어촌도로,면도1-101,3,15,청송군,,경상북도 청송군 청송읍 금곡리 1065,36.420096,129.08222,36.419947,129.082075,3,2경간연속RCS,Slab,,N,20,7,2,24,, ,,2,2000,2018-01-01,A,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
홈다리1교,99,농어촌도로,면도1-101,3,15,청송군,,경상북도 청송군 청송읍 금곡리 10-1,36.419126,129.089106,36.419107,129.089396,3,2경간연속RCS,Slab,,N,30,10,5.5,24,, ,,2,2004,2018-01-01,A,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
구미1교,99,농어촌도로,면도1-101,3,15,청송군,,경상북도 청송군 청송읍 거대리 687-1,36.418179,129.095932,36.418127,129.09616,3,2경간연속RCS,Slab,,N,34.5,11.5,4.9,24,, ,,2,2005,2018-01-01,A,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
구미2교,99,농어촌도로,면도1-101,3,15,청송군,,경상북도 청송군 청송읍 거대리 724-1,36.418843,129.091982,36.418655,129.092172,3,2경간연속RCS,Slab,,N,34,11.76,5,24,, ,,2,2005,2018-01-01,A,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
만수교,99,농어촌도로,면도4-101,3,15,청송군,,경상북도 청송군 현동면 개일리 620-1,36.273814,129.023563,36.272763,129.023321,3,PF합성형교,,2,N,145,7.5,5.9,24,, ,,2,2004,2018-01-01,A,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
능남교,99,농어촌도로,면도4-101,3,15,청송군,,경상북도 청송군 현동면 개일리 190,36.259822,129.023313,36.259647,129.023332,3,단순C''oncrcs,Slab,,N,8.7,7,2.2,18,, ,,2,1988,2018-01-01,B,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
당포교,99,농어촌도로,면도4-101,3,15,청송군,,경상북도 청송군 현동면 개일리 324,36.255853,129.024149,36.255747,129.024412,3,단순C''oncrcs,Slab,,N,8,7,1.3,18,, ,,2,1988,2018-01-01,B,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
개일교,99,농어촌도로,면도4-101,3,15,청송군,,경상북도 청송군 현동면 개일리 298-2,36.251507,129.024386,36.251191,129.024204,99,MSP합성형,,1,N,8,5.8,2,24,, ,,2,2010,2018-01-01,A,청송군,054-870-6337,2018-08-01,5160000,경상북도 청송군
